id;Наименование продукта;kal
7174;Соус, софрито, приготовленный по рецепту;139
7175;Соус, сырный микс, сухой;274
7176;Соус, сырный, готовый к употреблению;252
7177;Соус, сырный, сухой, порошок;225
7178;Соус, терияки, готовый к употреблению;258
7179;Соус, терияки, готовый к употреблению, с уменьшенным содерж. натрия;134
7180;Соус, томатный чили, бутилированный, без доб. соли, с низким содерж. натрия;121
7181;Соус, томатный чили, бутилированный, с доб. соли;229
7182;Соус, устричный, готовый к употреблению;159
7183;Соус, Хойсин, готовый к употреблению;255
7184;Суп из салата (escarole), консервированный, готовый к употреблению;206
7185;Суп из свежих фруктов по 1-200;277
7186;Суп картофельный по 1-142;169
7187;Суп картофельный с перловой крупой по 1-146;91
7188;Суп перловый с грибами по 1-164;262
7189;Суп пшенный с мясом по 1-160;179
7190;Суп рисовый по 1-158;129
7191;Суп с бобовыми (фасоль) по 1-162;117
7192;Суп харчо с мясом по 1-164;65
7193;Суп, HEALTHY CHOICE Куриный с лапшой, консервированный;195
7194;Суп, HEALTHY CHOICE Куриный с рисом, консервированный;142
7195;Суп, HEALTHY CHOICE Огородные овощи, консервированный;248
7196;Суп, бобовый, с сосисками, консервированный, приготовленный, на воде, в равных пропорциях;103
7197;Суп, брокколи, с сыром, консервированный, концентрат, коммерческий;214
7198;Суп, бульонные кубики, или гранулы, с низким содерж. натрия, сухой;233
7199;Суп, гаспачо, консервированный, готовый к употреблению;175
7200;Суп, говядина и грибами, с низким содерж. натрия, кусочки;289
7201;Суп, говяжий бульон, в кубиках, приготовленный на воде;192
7202;Суп, говяжий бульон, в кубиках, сухой;132
7203;Суп, говяжий бульон, консервированный, готовый к употреблению;135
7204;Суп, говяжий бульон, концентрат, приготовленный, на воде, в равных пропорциях;274
7205;Суп, говяжий бульон, порошок, приготовленный на воде;186
7206;Суп, говяжий бульон, порошок, сухой;177
7207;Суп, говяжий, бефстроганов, с кусочками, консервированный, готовый к употреблению;97
7208;Суп, говяжий, с грибами, консервированный, концентрат;126
7209;Суп, говяжий, с грибами, консервированный, концентрат, приготовленный, на воде, в равных пропорциях;263
7210;Суп, говяжий, с лапшой, консервированный, концентрат;55
7211;Суп, говяжий, с лапшой, консервированный, концентрат, приготовленный, на воде, в равных пропорциях;200
7212;Суп, говяжий, с лапшой, сухая смесь;167
7213;Суп, говяжий, с овощами и ячменем, консервированный, концентрат, одиночный бренд;124
7214;Суп, говяжий, с чили, консервированный, концентрат;79
7215;Суп, говяжий, с чили, консервированный, концентрат, приготовленный, на воде, в равных пропорциях;225
7216;Суп, гороховый (из колотого гороха), консервированный, концентрат;173
7217;Суп, гороховый (из колотого гороха), консервированный, приготовленный на воде, в равных пропорциях;228
7218;Суп, гороховый (из колотого гороха), с ветчиной и беконом, консервированный, концентрат, одиночный бренд;245
7219;Суп, гороховый (из колотого гороха), с ветчиной, с уменьшенным содерж. натрия, консервированный, приготовленный на воде или готовый к употреблению;235
7220;Суп, гороховый (из колотого гороха), с кусочками ветчины, консервированный, готовый к употреблению;286
7221;Суп, гороховый (из колотого гороха), с кусочками ветчины, с пониж. содерж. жира и натрия, готовый к употреблению, одиночный бренд;68
7222;Суп, гороховый (из колотого гороха), с уменьшенным содерж. натрия, консервированный, приготовленный на воде или готовый к употреблению;210
7223;Суп, гороховый, зеленый, консервированный, концентрат;296
7224;Суп, гороховый, зеленый, консервированный, приготовленный на молоке, в равных пропорциях;273
7225;Суп, гороховый, зеленый, консервированный, приготовленный, на воде, в равных пропорциях;94
7226;Суп, гороховый, с низким содержание натрия, приготовленный, на воде, в равных пропорциях;80
7227;Суп, грибной с ячменем, консервированный, концентрат;85
7228;Суп, грибной с ячменем, консервированный, приготовленный, на воде, в равных пропорциях;150
7229;Суп, грибной, на крепком говяжьем бульоне, консервированный, концентрат;154
7230;Суп, грибной, на крепком говяжьем бульоне, консервированный, приготовленный, на воде, в равных пропорциях;76
7231;Суп, грибной, сухая смесь, приготовленный на воде;206
7232;Суп, густой (похлебка), из моллюсков, консервированный, приготовленный, на воде, в равных пропорциях;115
7233;Суп, густой (похлебка), из моллюсков, по ново-английски, консервированный, концентрат;152
7234;Суп, густой (похлебка), из моллюсков, по ново-английски, консервированный, приготовленный, на воде, в равных пропорциях;259
7235;Суп, густой (похлебка), из моллюсков, по ново-английски, консервированный, приготовленный, на низкожирном молоке (2%), в равных пропорциях;215
7236;Суп, густой (похлебка), из моллюсков, по-манхэттенски, консервированный, концентрат;276
7237;Суп, густой (похлебка), из моллюсков, по-манхэттенски, консервированный, с кусочками, готовый к употреблению;229
7238;Суп, густой (похлебка), картофельный, с ветчиной, с кусочками, готовый к употреблению, одиночный бренд;218
7239;Суп, густой (похлебка), кукурузная похлебка, с кусочками курицы, готовый к употреблению, одиночный бренд;295
7240;Суп, густой (похлебка), куриный, с грибами, с кусочками, готовый к употреблению, одиночный бренд;242
7241;Суп, из акульих плавников, ресторанного приготовления;220
7242;Суп, из бычьих хвостов, сухая смесь, приготовленный на воде;113
7243;Суп, из индейки, с кусочками, консервированный, готовый к употреблению;150
7244;Суп, из индейки, с лапшой, консервированный, концентрат;284
7245;Суп, из индейки, с лапшой, консервированный, приготовленный, на воде, в равных пропорциях;91
7246;Суп, из индейки, с овощами, консервированный, концентрат;296
7247;Суп, из индейки, с овощами, консервированный, приготовленный, на воде, в равных пропорциях;137
7248;Суп, из черных бобов, консервированный, концентрат;101
7249;Суп, из черных бобов, консервированный, приготовленный, на воде, в равных пропорциях;247
7250;Суп, картофельный, быстрого приготовления, сухая смесь;122
7251;Суп, консоме (крепкий бульон), консервированный, концентрат, commercial;64
7252;Суп, консоме (крепкий бульон), с желатином, сухая смесь, приготовленный на воде;246
7253;Суп, крабовый, консервированный, готовый к употреблению;281
7254;Суп, Крепкий говяжий бульон, по-домашнему;206
7255;Суп, Крепкий куриный бульон, по-домашнему;280
7256;Суп, Крепкий рыбий бульон, по-домашнему;244
7257;Суп, куриная лапша, с низким содерж. натрия, консервированный, приготовленный, на воде, в равных пропорциях;115
7258;Суп, куриная лапша, сухая смесь;195
7259;Суп, куриная лапша, сухая смесь, приготовленный на воде;109
7260;Суп, куриный бульон, в кубиках, сухой;213
7261;Суп, куриный бульон, в кубиках, сухой, приготовленный на воде;114
7262;Суп, куриный бульон, консервированный, готовый к употреблению;180
7263;Суп, куриный бульон, консервированный, концентрат;70
7264;Суп, куриный бульон, консервированный, приготовленный, на воде, в равных пропорциях;72
7265;Суп, куриный бульон, консервированный, с уменьшенным или без содержания натрия;159
7266;Суп, куриный бульон, с низким содерж. натрия, консервированный;191
7267;Суп, куриный бульон, сухой;261
7268;Суп, куриный бульон, сухой, приготовленный на воде;171
7269;Суп, куриный гамбо, консервированный, концентрат;75
7270;Суп, куриный гамбо, консервированный, приготовленный, на воде, в равных пропорциях;63
7271;Суп, куриный с грибами, консервированный, приготовленный, на воде, в равных пропорциях;289
7272;Суп, куриный с лапшой, консервированный, концентрат;247
7273;Суп, куриный с лапшой, консервированный, приготовленный на воде, в равных пропорциях;138
7274;Суп, куриный с макаронными изделиями в виде звездочек, консервированный, концентрат, одиночный бренд;273
7275;Суп, куриный с овощами картофелем и сыром, кусочки, готовый к употреблению;139
7276;Суп, куриный с овощами, консервированный, приготовленный, на воде, в равных пропорциях;142
7277;Суп, куриный с овощами, кусочки, консервированный, готовый к употреблению;264
7278;Суп, куриный с овощами, кусочки, с пониж. содерж. жира, натрия, готовый к употреблению, одиночный бренд;221
7279;Суп, куриный с пампушками, консервированный, концентрат;295
7280;Суп, куриный с пампушками, консервированный, приготовленный, на воде, в равных пропорциях;130
7281;Суп, куриный с рисом, консервированный, кусочки, готовый к употреблению;103
7282;Суп, куриный с рисом, консервированный, приготовленный, на воде, в равных пропорциях;147
7283;Суп, куриный с рисом, сухая смесь, приготовленный на воде;193
7284;Суп, куриный, консервированный, кусочки, готовый к употреблению;54
7285;Суп, куриный, с грибами, консервированный, концентрат;95
7286;Суп, куриный, с овощами, консервированный, концентрат;104
7287;Суп, куриный, с рисом, консервированный, концентрат;93
7288;Суп, курица с овощами, консервированный, приготовленный на воде, с низким содерж. натрия;106
7289;Суп, кусочки говядины, консервированный, готовый к употреблению;105
7290;Суп, кусочки говядины, с деревенскими овощами, готовый к употреблению;228
7291;Суп, кусочки курицы с лапшой, консервированный, готовый к употреблению;119
7292;Суп, кусочки овощей, консервированный, готовый к употреблению;57
7293;Суп, лапша рамэн (китайская лапша), все вкусы, сухая;62
7294;Суп, лапша рамэн (китайская лапша), все вкусы, сухая, с пониж. содерж. натрия и жира, 2.5%;102
7295;Суп, лапша рамэн (китайская лапша), со вкусом говядины, сухая;67
7296;Суп, лапша рамэн (китайская лапша), со вкусом курицы, сухая;176
7297;Суп, луковый, консервированный, концентрат;137
7298;Суп, луковый, консервированный, приготовленный, на воде, в равных пропорциях;288
7299;Суп, луковый, сухая смесь;297
7300;Суп, луковый, сухая смесь, приготовленный на воде;206
7301;Суп, минестроне, консервированный, концентрат;105
7302;Суп, минестроне, консервированный, приготовленный на воде в равных пропорциях;132
7303;Суп, минестроне, консервированный, с кусочками, готовый к употреблению;213
7304;Суп, минестроне, консервированный, с уменьшенным содерж. натрия, готовый к употреблению;75
7305;Суп, молочный, с белокочанной капустой, по 1-180;57
7306;Суп, молочный, с макаронами, по 1-172;242
7307;Суп, молочный, с рисом, по 1-174;240
7308;Суп, молочный, с тыквой и манной крупой, по 1-178;215
7309;Суп, овощной с говядиной, возможно приготовление в микроволновке, готовый к употреблению, одиночный бренд;75
7310;Суп, овощной с говядиной, сухая смесь, приготовленный на воде;120
7311;Суп, овощной, вегетарианский, консервированный, концентрат;223
7312;Суп, овощной, вегетарианский, консервированный, приготовленный, на воде, в равных пропорциях;292
7313;Суп, овощной, консервированный, с низким содерж. натрия, концентрат;160
7314;Суп, овощной, концентрат, с низким содерж. натрия, приготовленный, на воде, в равных пропорциях;68
7315;Суп, овощной, на говяжьем бульоне, консервированный, концентрат;196
7316;Суп, овощной, на говяжьем бульоне, консервированный, приготовленный, на воде, в равных пропорциях;265
7317;Суп, овощной, с говядиной, консервированный, концентрат;265
7318;Суп, овощной, с говядиной, консервированный, концентрат, одиночный бренд;255
7319;Суп, овощной, с говядиной, консервированный, приготовленный, на воде, в равных пропорциях;75
7320;Суп, овощной, томатный, сухая смесь;259
7321;Суп, остро-кислый, Китайский ресторан;209
7322;Суп, пепперпот, консервированный, концентрат;50
7323;Суп, перловый, консервированный, концентрат;91
7324;Суп, перловый, консервированный, приготовленный, на воде, в равных пропорциях;172
7325;Суп, пюре, грибной, консервированный, концентрат;168
7326;Суп, пюре, грибной, консервированный, концентрат, с пониженным содерж. натрия;224
7327;Суп, пюре, грибной, консервированный, приготовленный, на воде, в равных пропорциях;189
7328;Суп, пюре, грибной, консервированный, приготовленный, на низкожирном молоке (2%), в равных пропорциях;279
7329;Суп, пюре, грибной, консервированный, с пониженным содерж. натрия, готовый к употреблению;261
7330;Суп, пюре, из овощей, сухой, порошок;300
7331;Суп, пюре, из сельдерея, консервированный, концентрат;229
7332;Суп, пюре, из сельдерея, консервированный, приготовленный, на воде, в равных пропорциях;144
7333;Суп, пюре, из сельдерея, консервированный, приготовленный, на молоке, в равных пропорциях;128
7334;Суп, пюре, из спаржи, консервированный, концентрат;168
7335;Суп, пюре, из спаржи, консервированный, приготовленный, на воде, в равных пропорциях;62
7336;Суп, пюре, из спаржи, консервированный, приготовленный, на молоке, в равных пропорциях;245
7337;Суп, пюре, картофельный, консервированный, концентрат;269
7338;Суп, пюре, картофельный, консервированный, приготовленный, на воде, в равных пропорциях;58
7339;Суп, пюре, картофельный, консервированный, приготовленный, на молоке, в равных пропорциях;144
7340;Суп, пюре, куриный, консервированный, концентрат;178
7341;Суп, пюре, куриный, консервированный, концентрат, одиночный бренд;136
7342;Суп, пюре, куриный, консервированный, концентрат, с пониженным содерж. натрия;213
7343;Суп, пюре, куриный, консервированный, приготовленный, на воде, в равных пропорциях;183
7344;Суп, пюре, куриный, консервированный, приготовленный, на молоке, в равных пропорциях;81
7345;Суп, пюре, куриный, сухая, смесь, приготовленный на воде;169
7346;Суп, пюре, луковый, консервированный, концентрат;239
7347;Суп, пюре, луковый, консервированный, приготовленный, на воде, в равных пропорциях;267
7348;Суп, пюре, луковый, консервированный, приготовленный, на молоке, в равных пропорциях;199
7349;Суп, пюре, с креветками, консервированный, концентрат;180
7350;Суп, пюре, с креветками, консервированный, приготовленный, на воде, в равных пропорциях;104
7351;Суп, пюре, с креветками, консервированный, приготовленный, на низкожирном молоке (2%), в равных пропорциях;195
7352;Суп, рагу из устриц, консервированный, концентрат;268
7353;Суп, рагу из устриц, консервированный, приготовленный на молоке, в равных пропорциях;210
7354;Суп, рагу из устриц, консервированный, приготовленный на молоке, в равных пропорциях;223
7355;Суп, Рассольник домашний по 1-136;217
7356;Суп, суп-пюре томатный, консервированный, концентрат;160
7357;Суп, суп-пюре томатный, консервированный, приготовленный на воде, в равных пропорциях;258
7358;Суп, суп-пюре томатный, консервированный, приготовленный на молоке, в равных пропорциях;214
7359;Суп, сырный, консервированный, приготовленный, на воде, в равных пропорциях;59
7360;Суп, сырный, консервированный, приготовленный, на молоке, в равных пропорциях;53
7361;Суп, сырный, консервированный, концентрат;252
7362;Суп, томатный с овощами, сухая смесь, приготовленный на воде;114
7363;Суп, томатный с рисом, консервированный, концентрат;152
7364;Суп, томатный с рисом, консервированный, приготовленный, на воде, в равных пропорциях;187
7365;Суп, томатный, консервированный, концентрат;296
7366;Суп, томатный, консервированный, концентрат, с уменьшенным содерж. натрия;215
7367;Суп, томатный, консервированный, приготовленный, на 2% молоке, в равных пропорциях;203
7368;Суп, томатный, консервированный, приготовленный, на воде, в равных пропорциях, коммерческий;106
7369;Суп, томатный, с говядиной и лапшой, консервированный, концентрат;291
7370;Суп, томатный, с говядиной и лапшой, консервированный, концентрат, приготовленный, на воде, в равных пропорциях;282
7371;Суп, томатный, с низким содержание натрия, с водой;195
7372;Суп, томатный, сухая смесь, приготовленный на воде;158
7373;Суп, фасолевый с ветчиной, консервированный, с уменьшенным содерж. натрия, приготовленный на воде или готовый к употреблению;294
7374;Суп, фасоль с беконом, концентрат, одиночный бренд;160
7375;Суп, фасоль с беконом, сухая смесь, приготовленный на воде;179
7376;Суп, фасоль с ветчиной, консервированный, кусочки, готовый к употреблению, коммерческий;295
7377;Суп, фасоль с сосисками, консервированный, концентрат, коммерческий;252
7378;Суп, фасоль со свининой, консервированный, концентрат;77
7379;Суп, фасоль со свининой, консервированный, приготовленный, на воде, в равных пропорциях;189
7380;Суп, чечевица с окороком, консервированный, готовый к употреблению;204
7381;Суп-пюре из картофеля по 1-180;112
7382;Суп-пюре из моркови по 1-182;82
7383;Суп-пюре из рисовой крупы по 1-186;63
7384;Суп-пюре из шпината по 1-184;268
7385;Щи из квашеной капусты по 1-132;183
7386;Щи из свежей капусты по 1-130;112
7387;Щи из щавеля по 1-132;286
7388;Щи суточные по 1-134;75
7389;Cereals ready to eat, composite character cereals (movies, TV), brand A;163
7390;Cereals ready to eat, composite character cereals (movies, TV), brand B;154
7391;Cereals ready-to-eat, chocolate-flavored frosted puffed corn;147
7392;Cereals ready-to-eat, corn and oat flours, puffed presweetened, single brand;117
7393;Cereals ready-to-eat, corn, rice, wheat, oats, presweetened, with fruit and almonds, single brand;82
7394;Cereals ready-to-eat, corn, whole wheat, rolled oats, presweetened, with almonds, single brand;90
7395;Cereals ready-to-eat, frosted oat cereal with marshmallows;86
7396;Cereals ready-to-eat, GENERAL MILLS Cinnamon CHEX;121
7397;Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut;275
7398;Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate;293
7399;Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX;180
7400;Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Caramel Delight;121
7401;Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Honey Clusters;134
7402;Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Raisin Bran Clusters;56
7403;Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Shredded Wheat;202
7404;Cereals ready-to-eat, GENERAL MILLS, TOTAL, Blueberry Pomegranate;112
7405;Cereals ready-to-eat, GENERAL MILLS, WHEATIES, Fuel;298
7406;Cereals ready-to-eat, KASHI Heart to Heart Warm Cinnamon;86
7407;Cereals ready-to-eat, KASHI ORGANIC PROMISE Island Vanilla Biscuit;285
7408;Cereals ready-to-eat, KASHI, Kashi U;116
7409;Cereals ready-to-eat, KELLOGG, All-Bran Strawberry Medley;263
7410;Cereals ready-to-eat, KELLOGG, KELLOGG'S Special K Blueberry;230
7411;Cereals ready-to-eat, KELLOGG, KELLOGG'S Special K low fat granola;300
7412;Cereals ready-to-eat, KELLOGG, KELLOGG'S Special K, Cinnamon Pecan;283
7413;Cereals ready-to-eat, MUESLI, dried fruit and nuts;152
7414;Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY;117
7415;Cereals ready-to-eat, oats, corn puffed mixture, presweetened, single brand;116
7416;Cereals ready-to-eat, oats, corn puffed mixture, presweetened, with marshmallows, single brand;62
7417;Cereals ready-to-eat, QUAKER, 100% Natural Granola Oats and Honey;78
7418;Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Cereal with oats, honey, and raisins;98
7419;Cereals ready-to-eat, QUAKER, QUAKER SWEET PUFFS;67
7420;Cereals ready-to-eat, QUAKER, Shredded Wheat, bagged cereal;299
7421;Cereals ready-to-eat, rice, puffed, presweetened, fruit flavored, single brand;79
7422;Cereals ready-to-eat, rice, puffed, presweetened, with cocoa, single brand;80
7423;Cereals ready-to-eat, rolled oats, whole wheat, rice, presweetened, maple flavored, with pecans;76
7424;Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits;59
7425;Cereals ready-to-eat, wheat and malt barley flakes;156
7426;Cereals ready-to-eat, wheat, bran, shredded, plain, salt and sugar free, single brand;95
7427;Cereals ready-to-eat, wheat, shredded, plain, sugar and salt free, spoon size, single brand;181
7428;Cereals ready-to-eat, whole wheat, rolled oats, presweetened, with nuts and fruit, single brand;261
7429;Cereals ready-to-eat, whole wheat, rolled oats, presweetened, with pecans;197
7430;Cereals ready-to-eat, whole wheat, rolled oats, presweetened, with walnuts and fruit, single brand;274
7431;Cereals ready-to-eat, whole wheat, shredded, presweetened, single brand;81
7432;Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt;251
7433;Cereals, corn grits, white, regular and quick, enriched, dry;284
7434;Cereals, corn grits, white, regular and quick, unenriched, cooked with water, without salt;104
7435;Cereals, corn grits, white, regular and quick, unenriched, dry;280
7436;Cereals, corn grits, white, regular, quick, enriched, cooked with water, with salt;58
7437;Cereals, corn grits, white, regular, quick, unenriched, cooked with water, with salt;215
7438;Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt;101
7439;Cereals, corn grits, yellow, regular and quick, enriched, dry;213
7440;Cereals, corn grits, yellow, regular and quick, unenriched, cooked with water, without salt;139
7441;Cereals, corn grits, yellow, regular and quick, unenriched, dry;289
7442;Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt;110
7443;Cereals, corn grits, yellow, regular, quick, unenriched, cooked with water, with salt;113
7444;Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, microwaved, without salt;263
7445;Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, stove-top, without salt;228
7446;Cereals, CREAM OF WHEAT, 1 minute cook time, dry;92
7447;Cereals, Cream of Wheat, 2 1/2 minute cook time, cooked with water, microwaved, without salt;96
7448;Cereals, Cream of Wheat, 2 1/2 minute cook time, cooked with water, stove-top, without salt;281
7449;Cereals, Cream of Wheat, 2 1/2 minute cook time, dry;269
7450;Cereals, CREAM OF WHEAT, instant, prepared with water, without salt;142
7451;Cereals, CREAM OF WHEAT, mix'n eat, apple, banana and maple flavored, dry;150
7452;Cereals, CREAM OF WHEAT, mix'n eat, apple, banana and maple flavored, prepared;244
7453;Cereals, CREAM OF WHEAT, mix'n eat, plain, dry;66
7454;Cereals, CREAM OF WHEAT, mix'n eat, plain, prepared with water;85
7455;Cereals, KASHI GO LEAN Hot Cereal, Hearty Honey & Cinnamon, dry;159
7456;Cereals, KASHI HEART TO HEART, Instant Oatmeal, Apple Cinnamon, dry;246
7457;Cereals, KASHI HEART TO HEART, Instant Oatmeal, maple, dry;69
7458;Cereals, KASHI, KASHI GO LEAN Hot Cereal, Truly Vanilla, dry;139
7459;Cereals, Oat Bran, QUAKER, QUAKER/MOTHER'S Oat Bran, prepared with water, salt;184
7460;Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved);203
7461;Cereals, oats, instant, fortified, with cinnamon and spice, dry;94
7462;Cereals, oats, instant, fortified, with cinnamon and spice, prepared with water;140
7463;Cereals, oats, instant, fortified, with raisins and spice, dry;178
7464;Cereals, oats, instant, fortified, with raisins and spice, prepared with water;105
7465;Cereals, oats, regular and quick and instant, not fortified, dry;174
7466;Cereals, QUAKER, corn grits, instant, butter flavor, dry;251
7467;Cereals, QUAKER, corn grits, instant, butter flavor, prepared with water;55
7468;Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry;137
7469;Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, prepared with water;120
7470;Cereals, QUAKER, corn grits, instant, country bacon (imitation bacon bits), prepared with water;109
7471;Cereals, QUAKER, corn grits, instant, plain, dry;113
7472;Cereals, QUAKER, corn grits, instant, plain, prepared with water;127
7473;Cereals, QUAKER, corn grits, instant, with imitation bacon bits, dry;165
7474;Cereals, QUAKER, Creamy Wheat, farina, enriched, prepared with water, no salt;54
7475;Cereals, QUAKER, Creamy Wheat, farina, enriched, prepared with water, salt;69
7476;Cereals, QUAKER, farina, Creamy Wheat, enriched, dry;196
7477;Cereals, QUAKER, farina, enriched cinnamon flavor, dry;74
7478;Cereals, QUAKER, hominy grits, white, quick, dry;214
7479;Cereals, QUAKER, hominy grits, white, regular, dry;157
7480;Cereals, QUAKER, hominy grits, yellow, quick, dry;59
7481;Cereals, QUAKER, Instant Grits Product with American Cheese Flavor, Dry;287
7482;Cereals, QUAKER, Instant Grits Product with Imitation Bacon Bits and Cheddar Flavor, Dry;118
7483;Cereals, QUAKER, Instant Grits Product with Redeye Gravy and Imitation Ham Bits, Dry;289
7484;Cereals, QUAKER, Instant Grits Product--Ham 'n' Cheese;282
7485;Cereals, QUAKER, Instant Oatmeal EXPRESS, Golden Brown Sugar, dry;211
7486;Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, dry;217
7487;Cereals, QUAKER, Instant Oatmeal, Baked Apple, prepared with boiling water;116
7488;Cereals, QUAKER, Instant Oatmeal, Cinnamon Spice, prepared with boiling water;59
7489;"Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS with ""DINOSAUR BONES"", Brown Sugar Cinnamon, dry";142
7490;Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS with DINOSAUR BONES, Brown Sugar Cinnamon, prepared with boiling water;278
7491;Cereals, QUAKER, Instant Oatmeal, EXPRESS Baked Apple, prepared with boiling water;204
7492;Cereals, QUAKER, Instant Oatmeal, EXPRESS Cinnamon Roll, prepared with boiling water;299
7493;Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry;291
7494;Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, prepared with boiling water;88
7495;Cereals, QUAKER, Instant Oatmeal, Honey Nut, prepared with boiling water;187
7496;Cereals, QUAKER, Instant Oatmeal, low sodium, dry;233
7497;Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry;218
7498;Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, prepared with boiling water;160
7499;Cereals, QUAKER, Instant Oatmeal, TREASURE HUNT, prepared with boiling water;127
7500;Cereals, QUAKER, Mother's Instant Oatmeal (Non-Fortified), Dry;143
7501;Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, prepared with water, no salt;291
7502;Cereals, QUAKER, oatmeal, instant, low sodium, prepared with water;193
7503;Cereals, QUAKER, oatmeal, instant, raisins, dates and walnuts, prepared with water;147
7504;Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, no salt;95
7505;Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, salt;126
7506;Cereals, QUAKER, Scotch Barley, regular and quick, dry;95
7507;Cereals, QUAKER,Instant Oatmeal, apples and cinnamon, prepared with boiling water;252
7508;Cereals, RALSTON, cooked with water, without salt;103
7509;Cereals, RALSTON, dry;160
7510;Cereals, ready-to-eat, ALPEN;84
7511;Cereals, ready-to-eat, KELLOGG, KELLOGG'S CINNABON cereal;184
7512;Cereals, ROMAN MEAL WITH OATS, cooked with water, without salt;207
7513;Cereals, ROMAN MEAL, plain, cooked with water, with salt;295
7514;Cereals, ROMAN MEAL, plain, cooked with water, without salt;135
7515;Cereals, whole wheat hot natural cereal, cooked with water, with salt;58
7516;Cereals, whole wheat hot natural cereal, cooked with water, without salt;121
7517;Cereals, whole wheat hot natural cereal, dry;265
7518;Incaparina, dry mix (corn and soy flours), unprepared;132
7519;KASHI GOLEAN Crisp Toasted Berry Crumble;169
7520;Millet, puffed;264
7521;Rice and Wheat cereal bar;295
7522;Амарант, хлопья;194
7523;Батончик со злаками и молоком;197
7524;Сухой завтрак, CREAM OF RICE, приготовленный на воде, без соли;220
7525;Сухой завтрак, CREAM OF RICE, сухой;272
7526;Сухой завтрак, MALT-O-MEAL, обычный, сухой;288
7527;Сухой завтрак, Ralston TASTEEOS, готовый к употреблению;89
7528;Сухой завтрак, APPLE CINNAMON SQUARES MINI-WHEATS, готовый к употреблению;55
7529;Сухой завтрак, Cereals ready-to-eat, KELLOGG, KELLOGG'S SMART START Cereal, готовый к употреблению;116
7530;Сухой завтрак, CREAM OF RICE, приготовленный на воде, без соли;273
7531;Сухой завтрак, CREAM OF WHEAT, быстро, приготовленная на воде, без соли;163
7532;Сухой завтрак, CREAM OF WHEAT, быстро, сухая;90
7533;Сухой завтрак, CREAM OF WHEAT, быстрого приготовления, приготовленный на воде, с солью;66
7534;Сухой завтрак, CREAM OF WHEAT, быстрого приготовления, сухой;254
7535;Сухой завтрак, CREAM OF WHEAT, обычный, приготовленный на воде, без соли;173
7536;Сухой завтрак, CREAM OF WHEAT, обычный, приготовленный на воде, с солью;166
7537;Сухой завтрак, CREAM OF WHEAT, обычный, сухой;126
7538;Сухой завтрак, CRISPY BROWN RICE, готовый к употреблению;296
7539;Сухой завтрак, FAMILIA, готовый к употреблению;92
7540;Сухой завтрак, GENERAL MILLS Berry Burst CHEERIOS, all flavors, готовый к употреблению;270
7541;Сухой завтрак, GENERAL MILLS TOTAL, Cranberry Crunch, готовый к употреблению;193
7542;Сухой завтрак, GENERAL MILLS, APPLE CINNAMON CHEERIOS, готовый к употреблению;89
7543;Сухой завтрак, GENERAL MILLS, BASIC 4, готовый к употреблению;159
7544;Сухой завтрак, GENERAL MILLS, BERRY BERRY KIX, готовый к употреблению;172
7545;Сухой завтрак, GENERAL MILLS, BOO BERRY, готовый к употреблению;177
7546;Сухой завтрак, GENERAL MILLS, CHEERIOS, Yogurt Burst, готовый к употреблению;175
7547;Сухой завтрак, GENERAL MILLS, CHEERIOS, готовый к употреблению;59
7548;Сухой завтрак, GENERAL MILLS, CHOCOLATE LUCKY CHARMS, готовый к употреблению;86
7549;Сухой завтрак, GENERAL MILLS, Cinnamon Grahams, готовый к употреблению;118
7550;Сухой завтрак, GENERAL MILLS, CINNAMON TOAST CRUNCH, готовый к употреблению;257
7551;Сухой завтрак, GENERAL MILLS, Cinnamon Toast Crunch, с уменьшенным содерж. сахара, готовый к употреблению;219
